date,mrp,smb,hml,rf,datenum
20110303,0.0176,0.0045,-0.0004,0,734565
20110304,-0.0067,0.003,-0.0053,0,734566
20110307,-0.0096,-0.0072,0.0012,0,734569
20110308,0.0097,0.0046,0.0067,0,734570
20110309,-0.0017,-0.0026,0.0032,0,734571
20110310,-0.0193,-0.0074,-0.0031,0,734572
20110311,0.0069,-0.0034,0.0014,0,734573
20110314,-0.0059,0.001,-0.004,0,734576
20110315,-0.0105,0.0027,-0.0014,0,734577
20110316,-0.0177,0.0064,-0.0007,0,734578
20110317,0.0112,-0.0082,0.0058,0,734579
20110318,0.0049,0.0058,0.0023,0,734580
20110321,0.0158,0.0096,-0.0026,0,734583
20110322,-0.0034,-0.0009,-0.0004,0,734584
20110323,0.0031,0.0016,-0.0039,0,734585
20110324,0.0096,-0.0011,-0.0042,0,734586
20110325,0.0041,0.0043,-0.0004,0,734587
20110328,-0.0035,0.0005,-0.0018,0,734590
20110329,0.0074,0.0026,-0.0019,0,734591
20110330,0.0079,0.0043,0.0008,0,734592
20110331,-0.0011,0.0059,-0.0031,0,734593
20110401,0.0052,-0.001,0.0024,0,734594
20110404,0.0009,0.0025,-0.0011,0,734597
20110405,0.0008,0.0047,-0.002,0,734598
20110406,0.0021,-0.002,0.006,0,734599
20110407,-0.002,-0.0021,-0.0016,0,734600
20110408,-0.0047,-0.0056,-0.0027,0,734601
20110411,-0.0039,-0.0065,-0.0011,0,734604
20110412,-0.0084,-0.0066,0.0003,0,734605
20110413,0.0011,0.0015,-0.0068,0,734606
20110414,0,0.0037,-0.0035,0,734607
20110415,0.0044,0.0058,-0.0006,0,734608
20110418,-0.0115,-0.0039,-0.0034,0,734611
20110419,0.005,-0.0035,-0.0016,0,734612
20110420,0.0145,0.0061,-0.0061,0,734613
20110421,0.0056,0.0032,-0.0006,0,734614
20110425,-0.0016,-0.0006,-0.0004,0,734618
20110426,0.0089,0.0015,-0.0003,0,734619
20110427,0.0066,-0.0008,-0.0023,0,734620
20110428,0.0032,-0.0014,0.0012,0,734621
20110429,0.0029,0.0021,-0.0005,0,734622
20110502,-0.0028,-0.009,-0.0014,0,734625
20110503,-0.005,-0.0101,0.0044,0,734626
20110504,-0.0074,-0.0055,-0.0015,0,734627
20110505,-0.0082,0.0051,-0.0033,0,734628
20110506,0.0046,0.0004,-0.0017,0,734629
20110509,0.0055,0.0067,-0.0043,0,734632
20110510,0.0086,0.0066,0.0023,0,734633
20110511,-0.0109,-0.0062,-0.0043,0,734634
20110512,0.0052,0.0036,-0.0043,0,734635
20110513,-0.0088,-0.0046,-0.0032,0,734636
20110516,-0.0076,-0.01,0.0044,0,734639
20110517,-0.0011,-0.0048,0.0012,0,734640
20110518,0.0102,0.0068,-0.003,0,734641
20110519,0.0022,-0.0003,-0.0012,0,734642
20110520,-0.0073,0.0008,-0.0021,0,734643
20110523,-0.0129,-0.0053,0.0001,0,734646
20110524,-0.0014,-0.0029,-0.0001,0,734647
20110525,0.0045,0.0102,-0.0036,0,734648
20110526,0.0052,0.0066,-0.0015,0,734649
20110527,0.0049,0.0018,0.0023,0,734650
20110531,0.0104,0.0042,-0.0006,0,734654
20110601,-0.0233,-0.0075,-0.0025,0,734655
20110602,-0.001,-0.0003,0.0012,0,734656
20110603,-0.011,-0.0055,0.0018,0,734657
20110606,-0.0118,-0.0027,-0.0033,0,734660
20110607,-0.0004,0.0031,-0.0012,0,734661
20110608,-0.0054,-0.0073,0.0004,0,734662
20110609,0.0075,-0.0007,0.0002,0,734663
20110610,-0.0137,-0.0024,0.0044,0,734664
20110613,0.0001,-0.0055,0.0037,0,734667
20110614,0.0136,0.0105,-0.0038,0,734668
20110615,-0.0172,-0.0002,-0.0015,0,734669
20110616,0.0012,-0.0008,0.0043,0,734670
20110617,0.0025,-0.0039,0.0065,0,734671
20110620,0.0058,0.0038,-0.0008,0,734674
20110621,0.0152,0.0095,-0.0039,0,734675
20110622,-0.0062,-0.0009,0.0007,0,734676
20110623,-0.0014,0.0064,-0.0083,0,734677
20110624,-0.011,0.0045,0.0013,0,734678
20110627,0.0089,0.0004,-0.0005,0,734681
20110628,0.0136,0.0041,-0.0053,0,734682
20110629,0.0077,-0.0069,0.0066,0,734683
20110630,0.0099,0.0017,-0.0025,0,734684
20110701,0.0145,-0.0003,0.0014,0,734685
20110705,-0.0008,0.0021,-0.0084,0,734689
20110706,0.0018,0.0042,-0.0056,0,734690
20110707,0.011,0.0048,0.0009,0,734691
20110708,-0.0067,-0.0001,-0.0042,0,734692
20110711,-0.0191,-0.0014,-0.0028,0,734695
20110712,-0.0045,0.0005,0.0045,0,734696
20110713,0.0045,0.0057,-0.0012,0,734697
20110714,-0.0082,-0.008,0.0012,0,734698
